idn	jahrzehnt	count	name	lat	lon
04037100X	330	4	Mailand	45.464269	9.18951
04037100X	340	4	Mailand	45.464269	9.18951
04037100X	350	4	Mailand	45.464269	9.18951
04037100X	360	4	Mailand	45.464269	9.18951
04037100X	370	4	Mailand	45.464269	9.18951
04037100X	380	4	Mailand	45.464269	9.18951
04037100X	1290	4	Mailand	45.464269	9.18951
04037100X	1300	4	Mailand	45.464269	9.18951
04037100X	1310	4	Mailand	45.464269	9.18951
04037100X	1320	4	Mailand	45.464269	9.18951
04037100X	1330	4	Mailand	45.464269	9.18951
04037100X	1340	4	Mailand	45.464269	9.18951
04037100X	1350	4	Mailand	45.464269	9.18951
04037100X	1360	4	Mailand	45.464269	9.18951
04037100X	1370	4	Mailand	45.464269	9.18951
04037100X	1380	4	Mailand	45.464269	9.18951
04037100X	1390	4	Mailand	45.464269	9.18951
04037100X	1400	4	Mailand	45.464269	9.18951
040538109	1450	2	Schwaz	47.351665999999994	11.71
040269914	1450	2	Ingolstadt	48.765	11.423611
040660095	1450	2	Wien	48.208199	16.37169
040660095	1460	2	Wien	48.208199	16.37169
040582825	1460	5	Stuttgart	48.782222	9.176944
040538109	1460	2	Schwaz	47.351665999999994	11.71
040269914	1460	2	Ingolstadt	48.765	11.423611
040538109	1470	2	Schwaz	47.351665999999994	11.71
040269914	1470	2	Ingolstadt	48.765	11.423611
040582825	1470	5	Stuttgart	48.782222	9.176944
040082164	1470	45	Breslau	51.1	17.033329000000002
040152405	1470	3	Erfurt	50.978611	11.032777000000001
040660095	1470	2	Wien	48.208199	16.37169
040427420	1470	3	Nürnberg	49.454166	11.0775
040427420	1480	3	Nürnberg	49.454166	11.0775
040538109	1480	2	Schwaz	47.351665999999994	11.71
040666409	1480	6	Wittenberg	51.8661	12.649728999999999
040660095	1480	2	Wien	48.208199	16.37169
040082164	1480	45	Breslau	51.1	17.033329000000002
040269914	1480	2	Ingolstadt	48.765	11.423611
040582825	1480	5	Stuttgart	48.782222	9.176944
040152405	1480	3	Erfurt	50.978611	11.032777000000001
04014013X	1480	4	Eisenach	50.980699	10.31522
04014013X	1490	4	Eisenach	50.980699	10.31522
040604462	1490	27	Torgau	51.560159999999996	12.996169
040582825	1490	5	Stuttgart	48.782222	9.176944
040269914	1490	2	Ingolstadt	48.765	11.423611
040666409	1490	6	Wittenberg	51.8661	12.649728999999999
040538109	1490	2	Schwaz	47.351665999999994	11.71
040427420	1490	3	Nürnberg	49.454166	11.0775
040152405	1490	3	Erfurt	50.978611	11.032777000000001
040082164	1490	45	Breslau	51.1	17.033329000000002
040448282	1490	6	Passau	48.566388	13.431110999999998
040129950	1490	26	Dresden	51.05089	13.738319
040660095	1490	2	Wien	48.208199	16.37169
040269914	1500	2	Ingolstadt	48.765	11.423611
040152405	1500	3	Erfurt	50.978611	11.032777000000001
040582825	1500	5	Stuttgart	48.782222	9.176944
040538109	1500	2	Schwaz	47.351665999999994	11.71
04014013X	1500	4	Eisenach	50.980699	10.31522
040604462	1500	27	Torgau	51.560159999999996	12.996169
040082164	1500	45	Breslau	51.1	17.033329000000002
040448282	1500	6	Passau	48.566388	13.431110999999998
040660095	1500	2	Wien	48.208199	16.37169
040129950	1500	26	Dresden	51.05089	13.738319
04062501X	1500	2	Venedig	45.438609	12.32667
040769828	1500	2	Salzburg	47.799166	13.043888
040427420	1500	3	Nürnberg	49.454166	11.0775
040666409	1500	6	Wittenberg	51.8661	12.649728999999999
040582825	1510	5	Stuttgart	48.782222	9.176944
040129950	1510	26	Dresden	51.05089	13.738319
040448282	1510	6	Passau	48.566388	13.431110999999998
04002170X	1510	10	Ansbach	49.304722	10.593055
04014013X	1510	4	Eisenach	50.980699	10.31522
040660095	1510	3	Wien	48.208199	16.37169
04008065X	1510	4	Braunschweig	52.26594	10.52673
040269914	1510	2	Ingolstadt	48.765	11.423611
04062501X	1510	2	Venedig	45.438609	12.32667
040666409	1510	6	Wittenberg	51.8661	12.649728999999999
040604462	1510	27	Torgau	51.560159999999996	12.996169
040152405	1510	3	Erfurt	50.978611	11.032777000000001
04036934X	1510	4	Magdeburg	52.1275	11.629166
040427420	1510	3	Nürnberg	49.454166	11.0775
040103250	1510	57	Coburg	50.259166	10.963611
040243443	1510	4	Helmstedt	52.227899	11.00985
040769828	1510	2	Salzburg	47.799166	13.043888
04057878X	1510	7	Straßburg	48.583888	7.745277000000001
040082164	1510	45	Breslau	51.1	17.033329000000002
040538109	1510	2	Schwaz	47.351665999999994	11.71
040666409	1520	6	Wittenberg	51.8661	12.649728999999999
040604462	1520	27	Torgau	51.560159999999996	12.996169
040650839	1520	15	Weikersheim	49.478659	9.89977
040448282	1520	6	Passau	48.566388	13.431110999999998
040103250	1520	57	Coburg	50.259166	10.963611
04014013X	1520	4	Eisenach	50.980699	10.31522
040576485	1520	34	Stockholm	59.33258000000001	18.0649
040243443	1520	4	Helmstedt	52.227899	11.00985
040763102	1520	3	Prag	50.088039	14.420759
04057878X	1520	7	Straßburg	48.583888	7.745277000000001
040181189	1520	16	Frankfurt am Main	50.115277	8.684166000000001
04008065X	1520	4	Braunschweig	52.26594	10.52673
