gnd_id,bbg,name,count
041132920,Tsz,Deutsch,52471
041336976,Tsz,Topografie,39408
040359646,Tsz,Literatur,29706
040674886,Tsz,Zeitschrift,24268
040182029,Tsz,Frau,23150
040305503,Tsz,Kind,22564
04061963X,Tsz,Unternehmen,17710
040457915,Tsz,Philosophie,17588
04049716X,Tsz,Rezeption,17587
040372200,Tsz,Malerei,17440
