sachbegriff,count
Patient,265
Krebs,183
Onkologie,176
Zelle,170
Film,122
Nervenkrankheit,109
Neuropsychiatrie,108
Hirnkrankheit,108
Kind,106
Therapie,99
Literatur,95
Proteine,88
Deutsch,83
Kardiovaskuläre Krankheit,74
Unternehmen,74
Topografie,73
Gehirn,72
Tumor,72
Infektion,68
Medien,67
Chemische Synthese,66
Krankheit,64
Kinderkrankheit,59
Kinderheilkunde,58
Zentralnervensystem,58
Arzneimittelentwicklung,53
Arzneimitteldesign,53
Evaluation,53
Weltkrieg,50
Nachhaltigkeit,48
Architektur,47
Steuerrecht,47
Diagnostik,46
Gesellschaft,45
Kunst,45
Rezeption,44
Infektiologie,41
Lymphozyt,40
Recht,40
Spiel,39
Mädchen,38
Immunsystem,38
Diagnose,38
Rezeptor,38
Psychiatrie,38
Orthopädie,38
Psychische Störung,38
Philosophie,36
Kommunikation,36
Leukozyt,35
-,34
Management,34
Fotografie,34
Klinische Psychologie,33
Knochen,33
Frau,32
Immunologie,32
Simulation,32
Symptom,31
Resistenz,31
Komplikation,31
Rechtsvergleich,31
Politik,31
Immunität,31
Atemnot,30
Musik,30
Schmerz,30
Atemwegskrankheit,30
Immunchemie,30
Schule,29
Krankenhaus,29
Jugend,29
Modellierung,29
Englisch,28
Zahntechnik,28
Ästhetik,28
Operation,28
Allergie,28
Zahnprothetik,28
Messung,27
Mutation,27
Lebensqualität,27
Versuchsperson,27
Gelenk,27
Innovationsmanagement,26
Immunkrankheit,26
Ligand,26
Verletzung,26
Stadt,25
Bewertung,25
Alltag,25
Differentialdiagnose,25
Schüler,25
Nanopartikel,25
Wunde,25
Freundschaft,25
Arzneimittel,25
Statistik,25
Score,25
Ratte,25
