15.3p,179586
13.4p,126067
14.1,125339
14.4p,107141
10.12b,95088
12.2p,93449
16.5p,79279
31.3ab,68099
2.2,62570
3.6p,57728
3.5a,42422
13.5p,36749
9.3c,28243
13.2p,27424
00m,26081
16.1p,25065
13.7p,24190
31.3p,22931
13.1bp,22353
7.14p,20032
6.4p,19873
3.6a,19244
6.8,18714
31.16p,18506
3.2aa,17466
13.6p,17175
2.3p,16597
27.20p,16347
19.1b,16037
8.4,15829
8.4p,15829
6.6,15239
3.2ba,13944
00p,13889
12.1p,13790
3,13762
15.1p,13593
11.2p,13543
4.7p,12774
13.1a,12770
10.6a,11687
6.3a,11534
34.3,10742
22.5,10170
10.12p,9636
2.1,9624
30m,9014
8.2b,8612
31.7,8220
3.1p,8204
15.3,7759
7.15a,7742
9.5p,7716
11.1a,7694
12.4,7674
2.3,7656
2.2p,7543
13.1c,7514
10.2dp,7509
19.3,7432
9.5c,7378
6.7,7239
28,7115
3.1,7074
25.3,7016
16.5,6723
17.2,6571
31.3a,6466
3.6b,6338
6.1a,6256
15.1,6192
27.20,6178
16.3,6157
24.3,5776
32.10p,5492
13.6,5282
17.1,5252
14.4,5228
10.7b,5207
23.2,5103
7.15p,5103
6.5,4929
7.13,4889
34.3p,4819
34.1,4590
30,4471
9.4ab,4423
10.13b,4310
10.7a,4132
28p,4122
19.1dp,4082
6.1p,4022
6.2a,4004
10.13p,3977
31.10,3974
13.2,3939
19.1a,3919
31.14,3872
31.3b,3866
9.4a,3845
31.9b,3765
13.4,3755
22.4,3684
17.4p,3643
6.7p,3626
18,3604
12.1b,3563
27.8a,3537
10.9b,3505
12.2b,3427
10.6b,3340
15.4p,3329
13.1cy,3310
11.3a,3286
12.4y,3267
7.8a,3224
8.1,3171
21.5p,3163
8.3,3105
8.2a,3089
16.1,3049
10.1c,3044
9.4b,2958
31.6,2878
21.4,2786
15.4,2779
9.3b,2761
7.10a,2752
31.8a,2752
7.14,2749
10.11p,2722
6.8p,2714
32.4,2705
5.5p,2678
22.5p,2653
10.6p,2627
10.8b,2607
10.4,2512
31.11,2478
13.3,2440
19.4p,2416
31.1a,2371
3.5cb,2367
32.6,2340
27.13,2305
6.3b,2261
23.3,2220
19.4c,2199
3.5,2177
7.3,2150
31.9a,2076
19.1d,2068
32.1a,2061
8.1p,2038
7.11a,1998
12.4p,1980
13.1cp,1971
31.16,1914
27.21,1895
21.3,1866
10.9p,1863
7.1a,1859
10.1p,1819
7.5c,1816
12.1a,1806
13.5,1804
35,1789
31.2,1780
16.2,1774
31.4,1765
31.1c,1755
10.11a,1745
10.10,1735
3.6c,1729
5.1b,1712
5.7,1709
10.12,1675
14.2,1672
24.3p,1666
31.12,1659
18p,1650
32.2,1640
10.3c,1639
20,1544
12.3,1529
25.3p,1523
19.2p,1520
22.2,1507
20p,1500
6.1b,1487
33.3p,1466
23.4p,1463
7.5d,1422
31.1d,1399
32.8,1378
29,1371
19.4b,1370
21.1,1345
10.12a,1309
21.5,1302
7.2c,1297
2.1p,1283
00,1270
27.10,1256
14.3,1226
3.5bb,1215
19.1c,1203
3.6,1198
33.3,1172
33.2,1163
31.1b,1158
19.4a,1142
27.2,1129
15.2p,1121
10.13a,1110
31.5,1099
7.7a,1097
30p,1095
5.1a,1087
6.4,1073
13.7,1048
31.15,1046
13.1b,1045
10.5,1041
10.9c,1039
32.3,1039
5.2,1019
9.5b,1005
10.11e,1003
21.2,1001
27.1a,996
10.8a,989
5.7p,981
5.5,958
27.3d,957
34.2,948
7.12b,944
31.8b,923
10.3b,914
19.2,883
10.7p,877
9.5a,841
10.11f,837
1,831
7.6a,824
7.9b,819
3.3c,815
10.14,800
27.4,791
11.2b,783
22.3,779
23.1a,777
17.3,762
3.3b,761
9.1c,748
9.2a,729
27.9a,726
5.3,720
19.5,718
32.5,715
19.4d,709
24.2b,709
27.9c,706
12.2a,702
4.3,700
7.6b,684
10.9a,679
25.2a,671
4.1,658
7.2b,657
3.2,646
7.7b,639
27.7,637
27.3c,635
4.5,623
4.2,606
26p,587
10.2a,584
27.17,582
9.3d,577
7.5b,573
31.13,564
24.2a,549
3.3a,549
16.4d,529
27.11,524
10.11g,511
27.8b,508
25.2b,501
10.11h,499
25.1,493
10.11m,489
3.4b,485
3.3,475
32.10,474
7.9a,472
9.3e,469
17.4,461
9.2b,456
10.8p,454
27.1b,451
23.1b,445
11.2a,444
7.5e,444
24.1,435
10.2ac,433
27.9e,428
10.11c,427
15.2,421
27.9f,417
10.11i,417
7.11b,416
3.2b,414
27.12,413
3.4a,411
7.5a,403
31.1e,402
10.2ea,402
3.2p,399
3.2a,388
32.9,388
33.1,387
3.4c,383
10.5p,379
27.3b,378
10.11b,373
32.7,373
27.19,368
11.3b,365
10.3p,361
27.16,353
6.2b,352
11.2c,349
7.10b,349
27.14,341
10.2b,337
10.2c,335
7.12d,333
32.1b,332
7.12c,327
7.4,325
27.5,322
16.4c,319
22.1,304
27.9d,303
7.6c,297
36,295
7.15b,283
27.15,282
4.4,282
19.5p,280
