sachbegriff,count
Planet,83
Weltall,79
Planetensystem,59
Astronomie,56
Recht,46
Topografie,46
Stern,40
Meditation,32
Planetenmond,31
Mädchen,26
Freundschaft,25
Magnetfeld,25
Photosphäre,19
Raumfahrt,19
Astrophysik,18
Lebensführung,17
Sonnenfleck,16
Weihnachten,15
Neutrino,14
Kind,14
Himmel,14
Sonnenbeobachtung,13
Tierkreiszeichen,13
Entspannung,13
Himmelskörper,13
Astronom,12
Strafrecht,12
Sternhimmel,12
Weltraum,12
Leben,12
Philosophie,12
Reise,11
Mutter,11
Horoskop,11
Yoga,11
Kosmologie,11
Selbstverwirklichung,11
Persönlichkeitsentwicklung,11
Spiritualität,10
Sternatmosphäre,10
Rezeption,10
Sonnenstrahlung,10
Komet,10
Kultur,10
Deutsch,10
Gott,10
Planetenentstehung,9
Alltag,9
Meteorit,9
Boden,9
Bibliothek,9
Astrologie,8
Unternehmen,8
Hochschullehrer,8
Mythologie,8
Sonnenenergie,8
Sage,8
Frau,8
Kinderfrage,7
Lyrik,7
Extrasolarer Planet,7
Kriminalfall,7
Junge,7
Galaxie,7
Brot,7
Fernrohr,7
Helioseismologie,7
Pflege,7
Antwort,7
Aspekt,7
Wein,7
Heilung,7
Raumsonde,7
Planetologie,7
Planetoid,7
Steuerrecht,7
Schule,7
Sonnenaktivität,7
Strahlungstransport,7
Männliche Jugend,7
Heliosphäre,7
Aufklärung,7
Gesellschaftsrecht,6
Wirtschaftsrecht,6
Meer,6
Evolution,6
Hatha-Yoga,6
Polarimetrie,6
Musik,6
Konvektion,6
Arbeitsrecht,6
Politik,6
Himmelsmechanik,6
Zeitreise,6
Flare,6
Kreisleiter,6
Sternbild,6
Freiheit,6
Abenteuer,6
Antike,6
