sachbegriff,count
Topografie,73
Geologie,19
Deutsch,17
Mädchen,16
Recht,15
Freundschaft,15
Abenteuer,14
Architektur,14
Pferd,14
Digitalisierung,13
Kind,13
Kunst,13
Schule,12
Philosophie,12
Fotografie,12
Römerzeit,11
Tiere,11
Neue Medien,11
Magie,11
Palmyra,10
Frau,10
Literatur,10
Radwandern,10
Lebensführung,10
COVID-19,9
Unternehmen,9
Gesellschaft,9
Rezeption,9
Wandern,9
Sport,9
Personenkraftwagen,8
Kultur,8
Verhaltenstherapie,8
Natur,8
Mut,8
Pandemie,8
Krankenpflege,8
Rune,7
Hund,7
Reiterhof,7
Weltkrieg,7
Haftung,7
Statistik,7
Reise,7
Relief,7
Pony,7
Freund,7
Junge,7
Nachhaltigkeit,7
Zeitschrift,7
Kindertagesstätte,6
Schwarzweißfotografie,6
Zukunft,6
Musik,6
Prinzessin,6
Plastik,6
Identität,6
Sprache,6
Malerei,6
Bergbau,6
Strafrecht,6
Klimaänderung,6
Politik,6
Glaube,6
Gefahrgutbeförderungsrecht,6
Übersetzung,6
Hochschule,6
Steuerrecht,5
Archäologie,5
Kostenfestsetzung,5
Familie,5
Alter,5
Produzierendes Gewerbe,5
Ideologie,5
Verbot,5
Geheimnis,5
Kindergarten,5
Alltag,5
Management,5
Psychotherapie,5
Christ,5
Hochschulschrift,5
Inklusive Pädagogik,5
Körper,5
Spiritualität,5
Evangelische Kirche,5
Christentum,5
Vater,4
Psychisches Trauma,4
Stadt,4
Unterricht,4
Städtebau,4
Rechtsschutz,4
Rechtsvergleich,4
Mathematikunterricht,4
Geschlechterrolle,4
Internationale Politik,4
Film,4
Drache,4
Gefühl,4
