gnd_id,bbg,name,count
041132920,Tsz,Deutsch,52692
041336976,Tsz,Topografie,40370
040359646,Tsz,Literatur,29942
040674886,Tsz,Zeitschrift,24142
040182029,Tsz,Frau,23230
040090809,Ts1,Buntpapier,23169
040305503,Tsz,Kind,22732
042993512,Ts1,Rundschreiben,20661
04061963X,Tsz,Unternehmen,17772
040372200,Tsz,Malerei,17741
