gnd_id,bbg,name,count
040118827,Tgz,Deutschland,258480
969619588,Tb1,Books on Demand GmbH,71772
041132920,Tsz,Deutsch,52692
106492235X,Tb6,epubli GmbH,50995
041336976,Tsz,Topografie,40370
040432718,Tgz,Österreich,38491
118584596,Tpz,Mozart,32204
040538818,Tgz,Schweiz,31206
11850553X,Tpz,Bach,30077
040359646,Tsz,Literatur,29942
